InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538105,22632,HAND WARMER UNION JACK,20,2024-09-02 17:27,£3.56,14876.0,United Kingdom
538112,22138,BAKING SET 9 PIECE RETROSPOT,47,2024-06-23 01:46,5.42,14746.0,United Kingdom
538588,21731,RED TOADSTOOL LED NIGHT LIGHT,21,2024-02-08 09:17,17.15,14531.0,United Kingdom
538327,22728,ALARM CLOCK BAKELIKE PINK,3,2024-06-04 21:08,2.98,16805.0,United Kingdom
538805,22197,POPCORN HOLDER,9,2024-02-11 20:30,17.48,13820.0,United Kingdom
536377,22745,POPPY'S PLAYHOUSE BEDROOM,36,2024-12-05 11:41,23.86,13629.0,United Kingdom
537158,21730,GLASS STAR FROSTED T-LIGHT HOLDER,36,2024-04-09 16:59,7.15,14398.0,United Kingdom
537904,22900,SET 2 TEA TOWELS I LOVE LONDON,39,2024-06-20 13:45,£22.16,12348.0,United Kingdom
537668,71053,WHITE METAL LANTERN,14,2024-02-03 23:59,8.62,12886.0,United Kingdom
537498,22727,ALARM CLOCK BAKELIKE RED,18,2024-11-20 22:34,4.58,15753.0,United Kingdom
538808,71053,WHITE METAL LANTERN,37,2024-02-07 13:31,13.15,17476.0,Germany
536882,21485,RETROSPOT HEART HOT WATER BOTTLE,2,2024-06-07 18:25,22.86,17427.0,United Kingdom
537387,22197,POPCORN HOLDER,43,2024-12-03 04:25,23.39,15408.0,United Kingdom
537487,22727,ALARM CLOCK BAKELIKE RED,46,2024-10-11 18:34,23.31,15719.0,United Kingdom
537758,21485,RETROSPOT HEART HOT WATER BOTTLE,40,2024-01-25 22:42,5.98,14104.0,United Kingdom
537153,22086,PAPER CHAIN KIT 50'S CHRISTMAS,36,2024-11-11 12:19,3.93,18197.0,United Kingdom
538868,21730,GLASS STAR FROSTED T-LIGHT HOLDER,37,2024-05-21 21:03,18.31,16729.0,United Kingdom
536457,22727,ALARM CLOCK BAKELIKE RED,16,2024-11-01 19:46,£21.62,13520.0,United Kingdom
538682,22197,POPCORN HOLDER,4,2024-09-07 17:56,14.75,12735.0,United Kingdom
538030,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2024-09-15 19:56,15.97,17270.0,United Kingdom
536531,22197,POPCORN HOLDER,5,2024-07-16 14:43,£14.62,13483.0,Spain
536845,22727,ALARM CLOCK BAKELIKE RED,4,04/12/24 15:37,22.82,15588.0,United Kingdom
538452,85123A,WHITE HANGING HEART T-LIGHT HOLDER,46,2024-03-10 05:13,11.74,13243.0,United Kingdom
536421,22960,JAM MAKING SET WITH JARS,32,2024-03-01 23:56,21.52,14470.0,Belgium
538545,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37,2024-01-30 11:41,18.41,18242.0,United Kingdom
537725,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2024-06-04 05:03,17.99,12501.0,United Kingdom
537139,22197,POPCORN HOLDER,5,2024-03-31 18:14,17.9,15235.0,EIRE
537508,84991,60 TEATIME FAIRY CAKE CASES,41,2024-12-25 08:24,14.24,13057.0,United Kingdom
538055,22138,BAKING SET 9 PIECE RETROSPOT,21,2024-01-19 16:33,£18.53,13846.0,United Kingdom
538720,22469,HEART OF WICKER SMALL,14,2024-01-23 15:26,£17.78,15356.0,United Kingdom
537447,22728,ALARM CLOCK BAKELIKE PINK,9,2024-06-12 12:46,£24.93,13885.0,United Kingdom
537264,22632,HAND WARMER UNION JACK,17,2024-04-07 01:31,7.34,16571.0,United Kingdom
536469,22138,BAKING SET 9 PIECE RETROSPOT,45,2024-07-18 20:28,24.18,17612.0,United Kingdom
537367,22745,POPPY'S PLAYHOUSE BEDROOM,37,2024-11-28 21:33,0.78,17803.0,United Kingdom
536546,21485,RETROSPOT HEART HOT WATER BOTTLE,11,2024-05-01 00:37,12.5,14856.0,United Kingdom
537846,85123A,WHITE HANGING HEART T-LIGHT HOLDER,29,2024-10-31 12:03,£8.04,17392.0,United Kingdom
536926,22138,BAKING SET 9 PIECE RETROSPOT,47,2024-02-23 04:42,8.61,13598.0,United Kingdom
537235,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2024-01-29 14:54,3.36,17979.0,United Kingdom
536516,22469,HEART OF WICKER SMALL,45,2024-10-29 19:30,13.06,16966.0,United Kingdom
538258,22138,BAKING SET 9 PIECE RETROSPOT,38,2024-09-01 03:25,16.21,15404.0,United Kingdom
537011,22728,ALARM CLOCK BAKELIKE PINK,41,2024-05-04 22:58,6.82,17652.0,United Kingdom
538912,22745,POPPY'S PLAYHOUSE BEDROOM,13,2024-11-13 06:22,17.54,16437.0,United Kingdom
537037,84406B,CREAM CUPID HEARTS COAT HANGER,14,2024-10-13 00:04,21.15,17890.0,United Kingdom
537144,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2024-01-28 18:37,21.21,14585.0,United Kingdom
536832,22745,POPPY'S PLAYHOUSE BEDROOM,25,2024-05-25 03:16,23.64,15381.0,United Kingdom
537012,21731,RED TOADSTOOL LED NIGHT LIGHT,43,2024-11-04 19:48,4.37,15842.0,United Kingdom
537559,22728,ALARM CLOCK BAKELIKE PINK,2,2024-12-01 10:02,£9.77,17742.0,United Kingdom
538628,22745,POPPY'S PLAYHOUSE BEDROOM,16,2024-02-14 04:03,15.76,12907.0,United Kingdom
537187,84406B,CREAM CUPID HEARTS COAT HANGER,17,2024-08-05 09:10,1.66,16304.0,United Kingdom
538162,22900,SET 2 TEA TOWELS I LOVE LONDON,25,2024-04-08 06:07,4.93,17449.0,United Kingdom
537950,21485,RETROSPOT HEART HOT WATER BOTTLE,12,2024-07-11 03:50,8.7,17042.0,United Kingdom
538942,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2024-01-12 01:43,9.23,13818.0,United Kingdom
536840,21931,JUMBO STORAGE BAG SUKI,26,2024-01-13 06:29,6.03,17732.0,United Kingdom
537999,22469,HEART OF WICKER SMALL,6,2024-12-06 15:44,18.99,13728.0,United Kingdom
537697,22469,HEART OF WICKER SMALL,46,2024-08-04 23:10,14.68,14827.0,United Kingdom
536954,22632,HAND WARMER UNION JACK,26,2024-11-01 11:57,2.78,,United Kingdom
536835,84991,60 TEATIME FAIRY CAKE CASES,25,2024-08-21 09:05,13.07,,United Kingdom
537546,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2024-01-25 13:33,5.83,14144.0,United Kingdom
536753,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2024-12-14 02:54,7.02,14287.0,United Kingdom
538030,84991,60 TEATIME FAIRY CAKE CASES,13,09/15/24 19:56,13.85,17270.0,United Kingdom
536631,22386,JUMBO BAG PINK POLKADOT,47,2024-05-27 14:20,6.57,15345.0,United Kingdom
537285,22138,BAKING SET 9 PIECE RETROSPOT,14,2024-10-15 23:06,13.59,17450.0,United Kingdom
537892,22632,HAND WARMER UNION JACK,11,2024-08-26 02:37,21.41,16601.0,EIRE
537348,22745,POPPY'S PLAYHOUSE BEDROOM,47,2024-07-05 14:59,21.99,12774.0,United Kingdom
C538836,84991,60 TEATIME FAIRY CAKE CASES,-13,06/28/24 05:47,11.04,13832.0,United Kingdom
536668,21485,RETROSPOT HEART HOT WATER BOTTLE,9,2024-12-14 02:21,15.8,16210.0,United Kingdom
536433,22745,POPPY'S PLAYHOUSE BEDROOM,15,2024-03-11 20:06,24.18,17839.0,United Kingdom
536942,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2024-02-15 23:21,15.75,14304.0,Norway
537687,71053,WHITE METAL LANTERN,47,07/29/24 23:56,£12.17,18151.0,United Kingdom
536640,22386,JUMBO BAG PINK POLKADOT,8,2024-08-23 12:16,6.52,14786.0,United Kingdom
538519,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2024-06-16 10:45,8.45,13633.0,United Kingdom
537553,22900,SET 2 TEA TOWELS I LOVE LONDON,13,2024-12-22 19:35,15.26,12422.0,United Kingdom
536696,22900,SET 2 TEA TOWELS I LOVE LONDON,23,2024-09-26 12:13,15.49,14293.0,United Kingdom
538214,22197,POPCORN HOLDER,8,2024-12-05 09:58,3.44,15956.0,United Kingdom
538846,22138,BAKING SET 9 PIECE RETROSPOT,39,03/18/24 00:53,£15.75,12702.0,United Kingdom
537131,22727,ALARM CLOCK BAKELIKE RED,2,2024-10-01 00:56,13.19,12535.0,Belgium
C537948,22960,JAM MAKING SET WITH JARS,-6,2024-04-22 01:14,16.83,,United Kingdom
537226,22386,JUMBO BAG PINK POLKADOT,13,2024-07-03 10:36,5.14,16821.0,United Kingdom
537497,22197,POPCORN HOLDER,38,2024-11-27 02:40,4.5,18287.0,United Kingdom
538905,22386,JUMBO BAG PINK POLKADOT,35,2024-12-24 18:20,13.71,12881.0,United Kingdom
537847,71053,WHITE METAL LANTERN,45,2024-04-09 03:05,18.62,16375.0,United Kingdom
536844,22386,JUMBO BAG PINK POLKADOT,10,2024-01-05 20:54,22.54,12456.0,United Kingdom
538824,21931,JUMBO STORAGE BAG SUKI,14,2024-10-08 17:36,8.36,14283.0,United Kingdom
538510,22900,SET 2 TEA TOWELS I LOVE LONDON,7,2024-12-06 16:42,£20.22,16288.0,Germany
536783,84991,60 TEATIME FAIRY CAKE CASES,5,03/18/24 04:39,£17.19,13182.0,Spain
537731,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2024-09-09 22:39,22.76,12472.0,United Kingdom
536446,22900,SET 2 TEA TOWELS I LOVE LONDON,33,2024-10-12 03:08,£12.18,12419.0,United Kingdom
538411,84991,60 TEATIME FAIRY CAKE CASES,18,2024-06-27 23:59,18.02,17939.0,United Kingdom
538140,22086,PAPER CHAIN KIT 50'S CHRISTMAS,48,2024-08-05 12:48,9.58,12853.0,Germany
536473,84991,60 TEATIME FAIRY CAKE CASES,2,2024-04-03 03:27,9.47,12716.0,Germany
538619,22386,JUMBO BAG PINK POLKADOT,47,2024-02-02 09:54,20.21,12432.0,United Kingdom
537654,22386,JUMBO BAG PINK POLKADOT,32,2024-09-18 03:47,13.74,,France
537412,71053,WHITE METAL LANTERN,7,2024-12-08 08:58,24.65,17967.0,United Kingdom
538766,22138,BAKING SET 9 PIECE RETROSPOT,13,2024-10-02 22:54,1.76,15699.0,Portugal
537324,22138,BAKING SET 9 PIECE RETROSPOT,29,01/16/24 07:55,0.76,13082.0,United Kingdom
536820,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,2024-03-07 02:26,17.68,14366.0,United Kingdom
537696,71053,WHITE METAL LANTERN,3,2024-05-19 07:47,4.07,15116.0,United Kingdom
C538398,84406B,CREAM CUPID HEARTS COAT HANGER,-36,2024-04-23 13:27,3.56,,United Kingdom
538346,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2024-01-25 00:44,15.58,13672.0,United Kingdom
536612,22469,HEART OF WICKER SMALL,44,04/19/24 03:56,12.45,16745.0,United Kingdom
538511,22386,JUMBO BAG PINK POLKADOT,8,2024-03-29 20:32,4.72,17165.0,United Kingdom
538914,22960,JAM MAKING SET WITH JARS,21,2024-03-31 17:06,18.33,,United Kingdom
536618,22745,POPPY'S PLAYHOUSE BEDROOM,11,2024-09-21 11:20,7.13,16034.0,United Kingdom
538284,22960,JAM MAKING SET WITH JARS,37,2024-06-25 21:00,6.47,15566.0,United Kingdom
537313,22960,JAM MAKING SET WITH JARS,6,2024-11-30 15:58,20.23,16431.0,United Kingdom
537617,21931,JUMBO STORAGE BAG SUKI,11,05/30/24 04:59,24.78,16279.0,United Kingdom
537687,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2024-07-29 23:56,4.5,18151.0,United Kingdom
537396,22138,BAKING SET 9 PIECE RETROSPOT,32,2024-03-22 02:02,8.71,12579.0,United Kingdom
537751,84991,60 TEATIME FAIRY CAKE CASES,15,2024-07-03 12:00,12.43,16610.0,United Kingdom
C537872,22086,PAPER CHAIN KIT 50'S CHRISTMAS,-2,2024-07-26 16:45,14.21,15161.0,United Kingdom
538821,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2024-06-19 06:31,2.89,14712.0,United Kingdom
538184,22960,JAM MAKING SET WITH JARS,47,2024-10-27 23:23,17.84,16875.0,United Kingdom
538816,22632,HAND WARMER UNION JACK,37,2024-02-18 05:36,6.41,17728.0,United Kingdom
538602,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2024-11-27 11:04,23.83,15209.0,United Kingdom
538974,21731,RED TOADSTOOL LED NIGHT LIGHT,38,2024-04-23 15:57,24.29,15144.0,United Kingdom
537373,22900,SET 2 TEA TOWELS I LOVE LONDON,40,2024-10-23 14:06,24.69,16040.0,United Kingdom
538192,22632,HAND WARMER UNION JACK,24,2024-07-23 16:09,£22.95,15289.0,Germany
537407,22960,JAM MAKING SET WITH JARS,4,2024-08-08 19:16,4.4,,United Kingdom
537120,22727,ALARM CLOCK BAKELIKE RED,10,2024-02-23 08:28,15.34,15948.0,United Kingdom
537587,22900,SET 2 TEA TOWELS I LOVE LONDON,33,03/21/24 10:51,23.65,12802.0,United Kingdom
537834,21931,JUMBO STORAGE BAG SUKI,41,2024-01-31 20:25,20.0,15879.0,United Kingdom
538228,84406B,CREAM CUPID HEARTS COAT HANGER,27,03/16/24 10:12,£10.03,12850.0,United Kingdom
536815,22900,SET 2 TEA TOWELS I LOVE LONDON,42,2024-01-09 20:06,5.1,14475.0,United Kingdom
537327,22386,JUMBO BAG PINK POLKADOT,3,2024-10-08 07:37,20.69,14857.0,United Kingdom
537299,22386,JUMBO BAG PINK POLKADOT,10,2024-05-08 20:40,10.25,15980.0,United Kingdom
536600,22632,HAND WARMER UNION JACK,33,2024-02-08 15:47,£9.8,14077.0,United Kingdom
537223,22727,ALARM CLOCK BAKELIKE RED,22,2024-02-10 00:03,17.78,12354.0,United Kingdom
536377,22727,ALARM CLOCK BAKELIKE RED,28,2024-12-05 11:41,7.65,13629.0,United Kingdom
537364,22960,JAM MAKING SET WITH JARS,9,2024-10-16 19:40,5.86,15818.0,United Kingdom
538744,21731,RED TOADSTOOL LED NIGHT LIGHT,14,2024-12-13 07:06,11.42,15569.0,France
538033,21485,RETROSPOT HEART HOT WATER BOTTLE,35,07/02/24 05:41,£22.26,14811.0,United Kingdom
536741,22386,JUMBO BAG PINK POLKADOT,26,2024-04-18 16:41,20.89,14004.0,United Kingdom
538705,22086,PAPER CHAIN KIT 50'S CHRISTMAS,20,2024-05-21 17:13,19.38,16318.0,United Kingdom
C538984,22197,POPCORN HOLDER,-44,2024-07-05 06:42,11.84,16540.0,United Kingdom
537348,22745,POPPY'S PLAYHOUSE BEDROOM,5,2024-07-05 14:59,10.24,12774.0,United Kingdom
537183,21931,JUMBO STORAGE BAG SUKI,45,2024-04-06 09:31,1.38,15625.0,United Kingdom
538715,22138,BAKING SET 9 PIECE RETROSPOT,8,2024-08-21 19:33,22.02,17176.0,United Kingdom
537026,71053,WHITE METAL LANTERN,31,2024-04-24 00:23,6.81,14521.0,United Kingdom
537982,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37,2024-01-13 10:55,£13.28,16163.0,United Kingdom
538068,21931,JUMBO STORAGE BAG SUKI,46,2024-06-13 06:36,4.94,16277.0,United Kingdom
538802,22727,ALARM CLOCK BAKELIKE RED,37,2024-11-29 16:29,2.17,14399.0,United Kingdom
537867,22138,BAKING SET 9 PIECE RETROSPOT,24,2024-02-16 19:18,7.23,16735.0,United Kingdom
536394,71053,WHITE METAL LANTERN,48,2024-07-30 14:57,£1.56,18157.0,United Kingdom
538722,22727,ALARM CLOCK BAKELIKE RED,2,2024-09-29 10:50,21.14,14527.0,United Kingdom
538319,22469,HEART OF WICKER SMALL,5,2024-04-02 21:24,22.16,15540.0,United Kingdom
536860,22900,SET 2 TEA TOWELS I LOVE LONDON,44,2024-12-23 12:02,19.32,12739.0,United Kingdom
539014,22197,POPCORN HOLDER,20,2024-08-02 15:05,14.6,15623.0,United Kingdom
536718,22900,SET 2 TEA TOWELS I LOVE LONDON,8,2024-09-15 05:50,4.86,,United Kingdom
537706,84991,60 TEATIME FAIRY CAKE CASES,33,2024-12-01 05:52,9.7,16745.0,United Kingdom
538464,22086,PAPER CHAIN KIT 50'S CHRISTMAS,15,2024-06-05 14:31,15.68,15249.0,United Kingdom
538719,22138,BAKING SET 9 PIECE RETROSPOT,1,2024-07-01 12:44,14.64,12397.0,United Kingdom
537409,84879,ASSORTED COLOUR BIRD ORNAMENT,21,2024-01-18 06:59,6.7,,United Kingdom
538196,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2024-04-21 10:33,17.06,15240.0,United Kingdom
536601,21485,RETROSPOT HEART HOT WATER BOTTLE,39,04/22/24 05:59,11.67,16492.0,United Kingdom
538429,22386,JUMBO BAG PINK POLKADOT,21,2024-07-22 11:36,23.3,13431.0,United Kingdom
538913,84991,60 TEATIME FAIRY CAKE CASES,8,2024-04-05 08:38,24.54,17418.0,United Kingdom
537318,21485,RETROSPOT HEART HOT WATER BOTTLE,33,2024-04-28 22:47,2.69,17989.0,United Kingdom
538181,22197,POPCORN HOLDER,6,08/17/24 12:35,21.72,16500.0,United Kingdom
537774,22745,POPPY'S PLAYHOUSE BEDROOM,24,2024-08-24 17:19,21.31,12483.0,United Kingdom
538686,21485,RETROSPOT HEART HOT WATER BOTTLE,42,11/07/24 09:45,4.82,12926.0,United Kingdom
537679,84991,60 TEATIME FAIRY CAKE CASES,10,2024-11-01 13:12,22.82,16969.0,Belgium
537438,21731,RED TOADSTOOL LED NIGHT LIGHT,37,2024-10-26 16:47,9.54,14349.0,United Kingdom
538760,22469,HEART OF WICKER SMALL,41,2024-12-22 05:00,21.54,15189.0,United Kingdom
537229,22728,ALARM CLOCK BAKELIKE PINK,5,2024-09-11 06:13,15.61,17902.0,United Kingdom
537431,22900,SET 2 TEA TOWELS I LOVE LONDON,5,2024-11-04 15:03,22.45,12717.0,United Kingdom
537610,22960,JAM MAKING SET WITH JARS,39,2024-03-22 04:11,6.84,13888.0,Switzerland
537643,22469,HEART OF WICKER SMALL,33,2024-08-25 09:47,6.54,17282.0,United Kingdom
537477,21931,JUMBO STORAGE BAG SUKI,29,2024-09-02 15:28,24.07,17958.0,United Kingdom
536395,22197,POPCORN HOLDER,30,2024-09-15 09:11,24.7,14505.0,United Kingdom
538060,22900,SET 2 TEA TOWELS I LOVE LONDON,38,2024-08-25 00:30,13.18,15212.0,United Kingdom
537059,22632,HAND WARMER UNION JACK,23,2024-08-29 14:48,14.69,17505.0,France
537772,22728,ALARM CLOCK BAKELIKE PINK,42,2024-05-25 05:37,18.05,15139.0,United Kingdom
536964,22197,POPCORN HOLDER,15,2024-07-17 10:28,21.18,12967.0,United Kingdom
537797,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,07/31/24 18:59,17.19,16358.0,United Kingdom
537156,22386,JUMBO BAG PINK POLKADOT,2,2024-05-24 08:33,6.95,,United Kingdom
536422,21485,RETROSPOT HEART HOT WATER BOTTLE,13,2024-04-18 22:17,20.62,16949.0,United Kingdom
538579,21731,RED TOADSTOOL LED NIGHT LIGHT,39,2024-02-29 15:19,£5.14,15609.0,United Kingdom
538606,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2024-04-11 11:00,19.6,,Germany
537100,84879,ASSORTED COLOUR BIRD ORNAMENT,26,2024-07-16 14:13,17.24,14429.0,Netherlands
536460,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2024-05-10 21:33,2.93,15520.0,United Kingdom
537179,84406B,CREAM CUPID HEARTS COAT HANGER,47,2024-01-27 07:12,18.5,14480.0,United Kingdom
537203,22728,ALARM CLOCK BAKELIKE PINK,41,2024-06-20 04:31,£12.65,17947.0,United Kingdom
537994,22960,JAM MAKING SET WITH JARS,31,2024-04-25 22:51,£19.36,15710.0,United Kingdom
538399,22138,BAKING SET 9 PIECE RETROSPOT,34,2024-10-07 23:43,10.18,13346.0,United Kingdom
537738,84991,60 TEATIME FAIRY CAKE CASES,7,2024-08-21 20:37,9.59,14763.0,United Kingdom
537446,22745,POPPY'S PLAYHOUSE BEDROOM,44,2024-09-12 01:37,6.52,12772.0,United Kingdom
538987,22086,PAPER CHAIN KIT 50'S CHRISTMAS,37,02/04/24 15:20,£22.71,17037.0,United Kingdom
537076,22632,HAND WARMER UNION JACK,7,2024-06-22 00:46,9.7,14686.0,Australia
537422,22386,JUMBO BAG PINK POLKADOT,36,2024-05-22 05:09,5.54,12985.0,United Kingdom
538486,84879,ASSORTED COLOUR BIRD ORNAMENT,36,2024-07-27 17:12,11.06,16066.0,United Kingdom
537250,22745,POPPY'S PLAYHOUSE BEDROOM,44,2024-10-10 05:52,5.71,15370.0,United Kingdom
538084,22960,JAM MAKING SET WITH JARS,44,2024-05-26 13:12,4.64,,United Kingdom
537348,22138,BAKING SET 9 PIECE RETROSPOT,10,2024-07-05 14:59,6.42,12774.0,United Kingdom
537181,21485,RETROSPOT HEART HOT WATER BOTTLE,47,07/05/24 10:52,0.66,13174.0,United Kingdom
536867,22632,HAND WARMER UNION JACK,42,2024-08-03 09:48,0.71,18104.0,United Kingdom
537777,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2024-06-17 08:48,16.02,12716.0,United Kingdom
537003,22197,POPCORN HOLDER,42,2024-08-11 06:27,£18.46,14865.0,United Kingdom
537542,22960,JAM MAKING SET WITH JARS,14,2024-05-08 07:59,9.91,14643.0,United Kingdom
538856,21485,RETROSPOT HEART HOT WATER BOTTLE,28,2024-10-06 13:15,19.84,15557.0,United Kingdom
538309,22138,BAKING SET 9 PIECE RETROSPOT,13,2024-12-18 12:16,18.12,15252.0,United Kingdom
538297,71053,WHITE METAL LANTERN,9,2024-01-04 00:38,18.71,17098.0,United Kingdom
538318,22728,ALARM CLOCK BAKELIKE PINK,18,2024-04-01 09:55,2.99,13726.0,United Kingdom
538734,84991,60 TEATIME FAIRY CAKE CASES,47,10/18/24 22:46,£2.24,17976.0,United Kingdom
538717,22632,HAND WARMER UNION JACK,10,2024-01-05 14:25,1.12,17027.0,United Kingdom
537854,21731,RED TOADSTOOL LED NIGHT LIGHT,3,2024-12-29 18:12,15.95,17492.0,United Kingdom
536533,84991,60 TEATIME FAIRY CAKE CASES,17,2024-01-05 02:52,£9.61,16374.0,United Kingdom
537763,22469,HEART OF WICKER SMALL,37,2024-10-11 10:40,14.15,17460.0,United Kingdom
537084,21485,RETROSPOT HEART HOT WATER BOTTLE,9,2024-09-25 17:24,£1.48,16654.0,United Kingdom
537838,22086,PAPER CHAIN KIT 50'S CHRISTMAS,16,11/18/24 00:30,£17.42,13013.0,United Kingdom
537166,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/07/24 01:53,22.39,15123.0,United Kingdom
538225,22900,SET 2 TEA TOWELS I LOVE LONDON,17,02/27/24 08:40,23.72,15188.0,United Kingdom
537529,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2024-08-21 01:49,10.59,,United Kingdom
537935,22086,PAPER CHAIN KIT 50'S CHRISTMAS,47,2024-05-19 08:48,0.66,,United Kingdom
537459,21931,JUMBO STORAGE BAG SUKI,35,2024-11-09 15:15,£18.18,13901.0,Netherlands
538977,84406B,CREAM CUPID HEARTS COAT HANGER,11,2024-09-06 08:37,12.53,13836.0,United Kingdom
538887,22197,POPCORN HOLDER,2,2024-09-01 18:52,19.12,17753.0,United Kingdom
537026,21931,JUMBO STORAGE BAG SUKI,42,2024-04-24 00:23,8.18,14521.0,United Kingdom
538523,22469,HEART OF WICKER SMALL,35,2024-06-05 08:54,21.78,14151.0,Germany
536763,22386,JUMBO BAG PINK POLKADOT,19,2024-11-21 15:53,8.41,15939.0,Switzerland
537377,21485,RETROSPOT HEART HOT WATER BOTTLE,33,05/15/24 11:09,£21.63,13797.0,United Kingdom
537814,71053,WHITE METAL LANTERN,21,2024-12-24 22:09,13.56,14260.0,United Kingdom
537605,21931,JUMBO STORAGE BAG SUKI,9,2024-05-17 20:46,11.8,17549.0,United Kingdom
536395,22745,POPPY'S PLAYHOUSE BEDROOM,14,2024-09-15 09:11,3.83,14505.0,EIRE
537270,22900,SET 2 TEA TOWELS I LOVE LONDON,9,2024-09-30 02:00,11.84,16333.0,United Kingdom
536642,22727,ALARM CLOCK BAKELIKE RED,37,2024-04-29 02:31,12.82,14744.0,United Kingdom
538284,84406B,CREAM CUPID HEARTS COAT HANGER,39,2024-06-25 21:00,8.45,15566.0,United Kingdom
538846,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2024-03-18 00:53,11.22,12702.0,United Kingdom
537889,84406B,CREAM CUPID HEARTS COAT HANGER,43,2024-12-17 21:28,9.39,16505.0,United Kingdom
